und_only
Underground Line Only
UND_ONLY.FLD

Electric Field cannot be computed for underground circuit

 DIST    B Horz   B Vert   B PROD    B MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)
 ----    ------   ------   ------    -----
 113.00    0.032    0.187    0.190    0.190
 114.00    0.031    0.183    0.186    0.186
 115.00    0.030    0.179    0.182    0.182
 116.00    0.029    0.176    0.178    0.178
 117.00    0.028    0.172    0.175    0.175
 118.00    0.027    0.169    0.171    0.171
 119.00    0.027    0.166    0.168    0.168
 120.00    0.026    0.162    0.164    0.164
 121.00    0.025    0.159    0.161    0.161
 122.00    0.024    0.156    0.158    0.158
 123.00    0.024    0.153    0.155    0.155
 124.00    0.023    0.150    0.152    0.152
 125.00    0.022    0.148    0.149    0.149
 126.00    0.022    0.145    0.147    0.147
 127.00    0.021    0.142    0.144    0.144
 128.00    0.021    0.140    0.141    0.141
 129.00    0.020    0.137    0.139    0.139
 130.00    0.020    0.135    0.136    0.136
 131.00    0.019    0.133    0.134    0.134
 132.00    0.019    0.130    0.132    0.132
 133.00    0.018    0.128    0.129    0.129
 134.00    0.018    0.126    0.127    0.127
 135.00    0.017    0.124    0.125    0.125
 136.00    0.017    0.122    0.123    0.123
 137.00    0.016    0.120    0.121    0.121
 138.00    0.016    0.118    0.119    0.119
 139.00    0.015    0.116    0.117    0.117
 140.00    0.015    0.114    0.115    0.115
 141.00    0.015    0.112    0.113    0.113
 142.00    0.014    0.110    0.111    0.111
 143.00    0.014    0.108    0.109    0.109
 144.00    0.014    0.107    0.108    0.108
 145.00    0.013    0.105    0.106    0.106
 146.00    0.013    0.103    0.104    0.104
 147.00    0.013    0.102    0.103    0.103
 148.00    0.012    0.100    0.101    0.101
 149.00    0.012    0.099    0.099    0.099
 150.00    0.012    0.097    0.098    0.098
