    x	        Bx	    Bxperc	        By	    Byperc	     Bprod	    Bprodp	      Bmax	     Bmaxp
  660	    0.0050	    0.2467	    0.0751	    0.1123	    0.0753	    0.3351	    0.0753	    0.3351
  665	    0.0049	   -1.9950	    0.0740	   -0.0502	    0.0741	    0.1689	    0.0741	    0.1689
  670	    0.0048	   -4.1703	    0.0729	   -0.1831	    0.0730	    0.0325	    0.0730	    0.0325
  675	    0.0047	   -6.2817	    0.0718	   -0.2861	    0.0719	   -0.0739	    0.0719	   -0.0739
  680	    0.0046	   -8.3316	    0.0707	   -0.3589	    0.0709	   -0.1500	    0.0709	   -0.1500
  685	    0.0045	   12.0973	    0.0697	   -0.4012	    0.0699	   -0.1954	    0.0699	   -0.1954
  690	    0.0044	    9.6806	    0.0687	   -0.4127	    0.0689	   -0.2099	    0.0689	   -0.2099
  695	    0.0043	    7.3329	    0.0677	   -0.3929	    0.0679	   -0.1930	    0.0679	   -0.1930
  700	    0.0042	    5.0516	    0.0668	   -0.3412	    0.0669	   -0.1441	    0.0669	   -0.1441
  705	    0.0041	    2.8346	    0.0658	   -0.2573	    0.0660	   -0.0628	    0.0660	   -0.0628
  710	    0.0040	    0.6795	    0.0649	   -0.1404	    0.0650	    0.0516	    0.0650	    0.0516
  715	    0.0039	   -1.4159	    0.0640	    0.0101	    0.0641	    0.1998	    0.0641	    0.1998
  720	    0.0039	   -3.4534	    0.0631	    0.1951	    0.0632	    0.3824	    0.0632	    0.3824
  725	    0.0038	   -5.4353	    0.0623	    0.4153	    0.0624	    0.6005	    0.0624	    0.6005
  730	    0.0037	   -7.3633	    0.0614	    0.6717	    0.0615	   -0.7719	    0.0615	   -0.7719
  735	    0.0036	   -9.2392	    0.0606	   -0.6899	    0.0607	   -0.5118	    0.0607	   -0.5118
  740	    0.0036	  -11.0649	    0.0598	   -0.3912	    0.0599	   -0.2149	    0.0599	   -0.2149
  745	    0.0035	   16.2108	    0.0590	   -0.0547	    0.0591	    0.1198	    0.0591	    0.1198
  750	    0.0034	   13.9042	    0.0582	    0.3207	    0.0583	    0.4935	    0.0583	    0.4935
  755	    0.0033	   11.6581	    0.0574	    0.7363	    0.0575	   -0.8322	    0.0575	   -0.8322
  760	    0.0033	    9.4708	    0.0567	   -0.5817	    0.0568	   -0.4149	    0.0568	   -0.4149
  765	    0.0032	    7.3401	    0.0559	   -0.1218	    0.0560	    0.0436	    0.0560	    0.0436
  770	    0.0032	    5.2644	    0.0552	    0.3807	    0.0553	    0.5448	    0.0553	    0.5448
